collection,name,sku,material,description,specifications,datasheet_url,product_url
San Cristobal,San Cristobal Armless Swivel Bar Stool,651-SBS,Wrought Iron,"The O.W. Lee San Cristóbal Armless Swivel Bar Stool pairs elegant scrollwork with a refined silhouette. Designed for comfort and visual impact, this outdoor bar stool brings Spanish Baroque charm to bar-height seating areas. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 48 lbs,https://www.owlee.com/wp-content/uploads/2025/09/San-Cristobal_Retail_SpecSheet_2026_651-SBS-Armless-Swivel-Bar-Stool.pdf,https://www.owlee.com/collections/san-cristobal/armless-swivel-bar-stool-san-cristobal
San Cristobal,San Cristobal Swivel Bar Stool,653-SBS,Wrought Iron,"The O.W. Lee San Cristóbal Swivel Bar Stool combines ornate detailing with a commanding presence. Designed to echo the artistry of Spanish Baroque architecture, this outdoor swivel bar stool brings elegance and ease to bar-height entertaining. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 57 lbs,https://www.owlee.com/wp-content/uploads/2025/09/San-Cristobal_Retail_SpecSheet_2026_653-SBS-Swivel-Bar-Stool.pdf,https://www.owlee.com/collections/san-cristobal/swivel-bar-stool-san-cristobal
San Cristobal,San Cristobal 01 Side Table Base,6-ST01,Wrought Iron,"Designed to support a variety of table tops with strength and stability, these bases are built to last, with a durable finish that resists fading, blistering, and peeling. Backed by O.W. Lee’s 20-year structural warranty and 5-year finish guarantee, the San Cristóbal table bases combine timeless beauty with enduring performance.",Weight: 29 lbs,,https://www.owlee.com/collections/table-bases/01-side-table-base-san-cristobal
San Cristobal,San Cristobal 05 Occasional Table Base,6-OT05,Wrought Iron,"Designed to support a variety of table tops with strength and stability, these bases are built to last, with a durable finish that resists fading, blistering, and peeling. Backed by O.W. Lee’s 20-year structural warranty and 5-year finish guarantee, the San Cristóbal table bases combine timeless beauty with enduring performance.",Weight: 49 lbs,,https://www.owlee.com/collections/table-bases/05-occasional-table-base-san-cristobal
San Cristobal,San Cristobal 03 Occasional Table Base,6-OT03,Wrought Iron,"Fits table tops: 36"" Square, 42"" Round, 42"" Square, 54"" Round",Weight: 42 lbs,,https://www.owlee.com/collections/san-cristobal/03-occasional-table-base-san-cristobal
San Cristobal,San Cristobal 07 Dining Table Base,6-DT07,Wrought Iron,"Designed to support a variety of table tops with strength and stability, these bases are built to last, with a durable finish that resists fading, blistering, and peeling. Backed by O.W. Lee’s 20-year structural warranty and 5-year finish guarantee, the San Cristóbal table bases combine timeless beauty with enduring performance.",Packaged Weight: 135 lbs,,https://www.owlee.com/collections/san-cristobal/07-dining-table-base-san-cristobal
San Cristobal,San Cristobal 03 Dining Table Base,6-DT03,Wrought Iron,"Fits table tops: 36"" Square, 42"" Round, 42"" Square, 54"" Round",Packaged Weight: 78 lbs,,https://www.owlee.com/collections/san-cristobal/03-dining-table-base-san-cristobal
Arc,Arc Lounge Chair,34184-CC,Aluminum,"The O.W. Lee Arc Lounge Chair embodies relaxed sophistication through sculpted curves and a minimalist aesthetic. Designed for comfort and visual impact, this outdoor lounge chair offers a modern retreat for patios, terraces, and poolside spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 57 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-CC-Lounge-Chair.pdf,https://www.owlee.com/collections/arc/lounge-chair
Arc,Arc Swivel Rocker Lounge Chair,34184-SR,Aluminum,"The O.W. Lee Arc Swivel Rocker Lounge Chair adds fluid motion to modern outdoor relaxation. Smooth swivel and gentle rocking complement the collection’s flowing design language, creating a lounge chair that feels both dynamic and serene. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 62 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-SR-Swivel-Rocker-Lounge-Chair.pdf,https://www.owlee.com/collections/arc/swivel-rocker-lounge-chair
Arc,Arc Love Seat,34184-2S,Aluminum,"The O.W. Lee Arc Love Seat provides intimate seating defined by bold curves and contemporary styling. Its sculptural form and plush cushions create a refined outdoor love seat designed for comfortable conversation and modern outdoor living. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 100 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-2S-Love-Seat.pdf,https://www.owlee.com/collections/arc/arc-love-seat
Arc,Arc Sofa,34184-3S,Aluminum,"The O.W. Lee Arc Sofa delivers spacious seating with a sleek, modern presence. Sculpted lines and generous cushions make this outdoor sofa a striking focal point that balances luxury, comfort, and minimalist design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 138 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34184-3S-Sofa.pdf,https://www.owlee.com/collections/arc/sofa
Arc,Arc Right Sectional,34185-R,Aluminum,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 70 lbs,https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-R-Right-Sectional.pdf,https://www.owlee.com/collections/arc/arc-right-sectional
Arc,Arc Center Sectional,34185-C,Aluminum,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 68 lbs,https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-C-Center-Sectional.pdf,https://www.owlee.com/collections/arc/arc-center-sectional
Arc,Arc Corner Sectional,34185-CR,Aluminum,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 89 lbs,https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-CR-Corner-Sectional.pdf,https://www.owlee.com/collections/arc/arc-corner-sectional
Arc,Arc Left Sectional,34185-L,Aluminum,"The O.W. Lee Arc Sectional offers flexible seating arrangements while maintaining the collection’s sculptural, yacht-inspired aesthetic. Modular components allow for customized layouts that enhance both comfort and visual flow. Left, Right, Center, and Corner pieces available so you can design your ideal sectional. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 70 lbs,https://www.owlee.com/wp-content/uploads/2025/09/ARC_Retail_SpecSheet_2026_34185-L-Left-Sectional.pdf,https://www.owlee.com/collections/arc/arc-left-sectional
Arc,Ottoman,34170-O,Aluminum,"The O.W. Lee Arc Ottoman adds versatility and comfort to Arc seating groupings. Its clean form and tailored cushion echo the collection’s modern elegance while serving as a functional accent piece. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 30 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34170-O-Ottoman.pdf,https://www.owlee.com/collections/arc/ottoman
Arc,Sling Adjustable Chaise Lounge,34198-CH,Aluminum,"The O.W. Lee Arc Sling Chaise offers streamlined relaxation with a contemporary edge. Featuring a sculpted aluminum frame and supportive sling seating, this outdoor chaise lounge reflects the collection’s nautical inspiration and minimalist design philosophy. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 53 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_34198-CH-Chaise.pdf,https://www.owlee.com/collections/arc/50314-2
Arc,Dining Side Chair,3433-S,Aluminum,"The O.W. Lee Arc Dining Side Chair showcases a sculptural silhouette inspired by the sleek curves of modern yacht design. Clean lines and a minimalist form create a refined outdoor dining side chair that brings contemporary elegance to any outdoor dining setting. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 29 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_3433-S-Dining-Side-Chair.pdf,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc
Arc,Dining Arm Chair,3433-A,Aluminum,"The O.W. Lee Arc Dining Arm Chair blends bold curves with supportive comfort. Its sculpted frame and gently contoured arms reflect the collection’s modern, nautical inspiration, creating an outdoor dining arm chair that feels both sophisticated and inviting. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 30 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-A-Dining-Arm-Chair.pdf,https://www.owlee.com/collections/arc/dining-arm-chair
Arc,Swivel Rocker Dining Arm Chair,3433-SR,Aluminum,"The O.W. Lee Arc Swivel Rocker Dining Arm Chair enhances contemporary dining with smooth swivel and gentle rocking motion. Flowing lines and minimalist detailing echo the collection’s yacht-inspired design while offering relaxed functionality. Quality & Customization O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 38 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-SR-Swivel-Rocker-Dining-Arm-Chair.pdf,https://www.owlee.com/collections/arc/swivel-rocker-dining-arm-chair
Arc,Counter Stool,3433-CS,Aluminum,,Weight: 31 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-CS-Counter-Stool.pdf,https://www.owlee.com/collections/arc/counter-stool
Arc,Bar Stool,3433-BS,Aluminum,"The O.W. Lee Arc Bar Stool brings contemporary elegance to bar-height seating. Its bold yet minimal form captures the essence of modern design while delivering comfortable, refined outdoor seating. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 32 lbs,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_2026_3433-BS-Bar-Stool.pdf,https://www.owlee.com/collections/arc/bar-stool
Aris,Lounge Chair,27175-CC,Aluminum,"O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 58 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-CC-Lounge-Chair.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-lounge-chair
Aris,Swivel Rocker Lounge Chair,27175-SR,Aluminum,"The O.W. Lee Aris Swivel Rocker Lounge Chair adds effortless motion to modern outdoor relaxation. Smooth swivel and gentle rocking enhance comfort while preserving the collection’s clean, retro-inspired aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 68 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-SR-Swivel-Rocker-Lounge-Chair.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-swivel-rocker-lounge-chair
Aris,Max Swivel Rocker Lounge Chair,27275-SR,Aluminum,"The O.W. Lee Aris Max Swivel Rocker Lounge Chair offers an expanded scale with added side cushions for enhanced comfort. Designed for those who prefer a more generous seating experience, this Max lounge chair combines Mid-Century Modern style with maximum relaxation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 68 lbs,https://www.owlee.com/wp-content/uploads/2025/03/Aris_Retail_SpecSheet_2025_Max-Swivel-Rocker-Lounge-27275-SR.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-max-swivel-rocker-lounge-chair
Aris,Love Seat,27175-2S,Aluminum,"The O.W. Lee Aris Love Seat offers intimate seating with classic Mid-Century Modern character. Its balanced proportions, refined lines, and comfortable cushions create an inviting outdoor love seat for relaxed conversation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-2S-Love-Seat.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-love-seat
Aris,Max Love Seat,27276-2S,Aluminum,"The O.W. Lee Aris Max Love Seat elevates comfort with a larger profile and additional side cushioning. While maintaining the collection’s iconic modern lines, this Max-scale love seat provides an exceptionally inviting outdoor seating experience. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 100 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27276-2S-Max-Love-Seat.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-max-love-seat
Aris,Aris Sofa,27175-3S,Aluminum,"The O.W. Lee Aris Sofa offers intimate seating for 3 with classic Mid-Century Modern character. Its balanced proportions, refined lines, and comfortable cushions create an inviting outdoor love seat for relaxed conversation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Packaged Weight: 138 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-3S-Sofa.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-sofa
Aris,Max Sofa,27277-3S,Aluminum,"The O.W. Lee Aris Max Sofa delivers generous proportions and enhanced comfort without sacrificing design integrity. Added side cushions and a larger scale make this Max outdoor sofa ideal for lounging in ultimate comfort while enjoying Mid-Century Modern style. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 138 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27277-3S-Max-Sofa.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-max-sofa
Aris,Ottoman,27170-O,Aluminum,"The O.W. Lee Aris Ottoman adds versatility and comfort to Aris seating arrangements. Its clean-lined form complements the collection’s modern aesthetic while functioning as a footrest or additional seating option. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 27 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27170-O-Ottoman.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-ottoman
Aris,Adjustable Chaise,27179-CH,Aluminum,"O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty.",Weight: 83 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27179-CH-Adjustable-Chaise.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-adjustable-chaise
Aris,Dining Side Chair,2731-S,Aluminum,"The O.W. Lee Aris Dining Side Chair reflects the timeless appeal of Mid-Century Modern design through clean lines and a refined, minimalist profile. Its streamlined silhouette and durable construction make it an elegant outdoor dining chair suited for contemporary and retro-inspired spaces alike. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 22 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2731-S-Dining-Side-Chair.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-dining-side-chair
Aris,Dining Arm Chair,2733-A,Aluminum,"The O.W. Lee Aris Dining Arm Chair combines functional comfort with iconic Mid-Century Modern styling. Gently contoured lines and supportive arms create a welcoming outdoor dining arm chair that balances simplicity, comfort, and timeless design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 34 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2733-A-Dining-Arm-Chair.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-dining-arm-chair
Aris,Swivel Rocker Dining Arm Chair,2733-SR,Aluminum,"The O.W. Lee Aris Swivel Rocker Dining Arm Chair enhances classic dining comfort with smooth swivel and gentle rocking motion. Its clean, retro-inspired form delivers relaxed functionality while maintaining the collection’s modern, architectural aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 41 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2733-SR-Swivel-Rocker-Dining-Arm-Chair.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-swivel-rocker-dining-arm-chair
Aris,Backless Counter Stool,2731-MCS,Aluminum,"O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty.",Weight: 21 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2731-MCS-Backless-Counter-Stool.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-backless-counter-stool
Aris,Armless Counter Stool,2731-CS,Aluminum,"The O.W. Lee Aris Armless Counter Stool provides understated comfort with a refined, modern silhouette. Designed for versatility, this outdoor counter stool pairs clean lines with durable craftsmanship for timeless appeal. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 27 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2731-CS-Armless-Counter-Stool.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/armless-counter-stool-aluminum-wrought-aluminum-aris
Aris,Backless Bar Stool,2731-MBS,Aluminum,"The O.W. Lee Aris Backless Bar Stool brings Mid-Century Modern elegance to elevated seating. Its slim, uncluttered design emphasizes simplicity and function, making it a stylish addition to outdoor bar-height settings. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 22 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2731-MBS-Backless-Bar-Stool.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-backless-bar-stool
Aris,Armless Bar Stool,2731-BS,Aluminum,"The O.W. Lee Aris Armless Bar Stool combines contemporary comfort with retro-inspired styling. Clean lines and a supportive seat create a refined outdoor bar stool designed for both casual and sophisticated environments. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Weight: 28 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_2731-BS.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/aris-armless-bar-stool
Avana,Avana Crescent Sofa,65168-3S,Aluminum,"The Avana Crescent Sofa makes a statement without saying a word. With its sweeping crescent silhouette and sculptural frame, this piece is designed to anchor a space beautifully--whether gathered around a fire feature or positioned as a standalone focal point. The curved profile naturally encourages conversation, creating an intimate, inviting atmosphere while offering generous seating. Handcrafted with the signature quality and durability you expect from O.W. Lee, the Avana Crescent Sofa features a fully welded aluminum frame built to withstand the elements. Plush, tailored cushions provide exceptional comfort and long-lasting performance, available in a wide range of premium outdoor fabrics to suit any design vision. Elegant from every angle, the Avana Crescent Sofa blends refined lines with enduring construction—bringing both drama and comfort to luxury outdoor living spaces.",,,https://www.owlee.com/collections/aluminum-wrought-aluminum/avana-crescent-sofa
Avana,Padded Sling Dining Arm Chair,65192P-A,Aluminum,"The O.W. Lee Avana Padded Sling Dining Arm Chair brings modern elegance and comfort to any outdoor dining space. Its cushioned sling seat combines with a clean-lined aluminum frame to create a chair that feels refined, inviting, and perfectly suited for everyday use. Designed with both style and practicality in mind, it’s a great choice for those who want high-quality outdoor furniture at a more accessible price point without sacrificing design or durability. Quality & Customization Built with O.W. Lee’s legendary craftsmanship, this chair is made to last. The aluminum frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, ensuring long-lasting comfort and performance outdoors. Customization is effortless. Choose from 10 elegant frame finishes and over 100 fabric options, including 16 durable sling fabrics, to create a look that fits your outdoor space perfectly. The Avana Padded Sling Dining Arm Chair delivers style, comfort, and exceptional value, making it an ideal choice for customers seeking upscale outdoor dining at a smart price.",Weight: 18 lbs,https://www.owlee.com/wp-content/uploads/2021/11/Avana_Retail_SpecSheet_2026_65192P-A-Padded-Sling-Dining-Arm-Chair.pdf,https://www.owlee.com/collections/aluminum-wrought-aluminum/avana-padded-sling-dining-arm-chair
