sku,collection,style,name,description
891528PS,KOR,PADDED SLING,SIDE CHAIR 4,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Side Chair features an edgy design with a curved back and arched, angled legs. The outdoor dining chair features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Side Chairs nest for easy storage. These patio chairs are sure to provide a fresh environment on your patio."
891513PS,KOR,PADDED SLING,SPA CHAIR 4,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Spa Chair features an edgy design with a curved back and arms and arched, angled legs. The outdoor spa chair features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Spa Chairs nest for easy storage and are sure to make a statement around the pool or at the beach."
891820PS,KOR,PADDED SLING,ARMLESS RECLINER,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Armless Recliner features an edgy design. The outdoor recliner features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Armless Recliners are sure to make a statement on the patio."
891511PS,KOR,PADDED SLING,LOUNGE CHAIR,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Lounge Chair features an edgy design with a curved back and arms and arched, angled legs. The outdoor lounge chair features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Lounge Chairs are sure to make a statement on the patio."
891517PS,KOR,PADDED SLING,OTTOMAN,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Ottoman features an edgy design with arched, angled legs. The outdoor ottoman features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Ottomans are sure to make a statement on the patio."
891814PS,KOR,PADDED SLING,LOVE SEAT,
891821PS,KOR,PADDED SLING,SOFA,
891526PS,KOR,PADDED SLING,BAR STOOL,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Bar Stool features an edgy design with a curved back and arms and arched, angled legs. The outdoor bar stool features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Bar Stools will provide a fresh environment on your patio."
891529PS,KOR,PADDED SLING,ARMLESS BAR STOOL,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Bar Stool features an edgy design with a curved back and arms and arched, angled legs. The outdoor bar stool features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Bar Stools will are sure to provide a fresh environment on your patio."
891532PS,KOR,PADDED SLING,CHAISE LOUNGE 4,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Chaise Lounge features an edgy design with a curved back and arms and arched, angled legs. The outdoor chaise lounge features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Chaise Lounges nest and are sure to make a statement around the pool or at the beach."
891533PS,KOR,PADDED SLING,ARMLESS CHAISE LOUNGE 4,"Inspired by mid-century modern design, the contemporary KOR Padded Sling Armless Chaise Lounge features an edgy design with a curved back and arched, angled legs. The outdoor chaise lounge features two pieces of fabric slung across the seat and back frame and extra padding to create a modern look, while enhancing comfort. KOR Padded Sling Armless Chaise Lounges nest and are sure to make a statement around the pool or at the beach."
732325NT,Lakeside,CUSHION,SWIVEL ACTION LOUNGER,"Lakeside deep, generously proportioned cushioned outdoor patio chairs truly bring the elegance and comfort of the indoors out, allowing yards or patios to become an elegant outdoor room. Designed by Peter Homestead, the Lakeside Cushion Swivel Lounger features clean lines and generous seating surfaces to provide an elegant, yet rustic, charm. Lakeside Cushion Swivel Loungers feature RELAXplus® Cushions offering plenty of plush relaxation to enhance any occasion."
731370,Lakeside,CUSHION,Swivel Rocker,"Anchor any outdoor dining set with a pair of swivel rockers. Designed by Peter Homestead, the Lakeside Cushion Swivel Rocker invites modern families to connect with nature. Lakeside Cushion Swivel Rockers feature RELAXplus® Cushions and will have guests rocking in relaxation. The ergonomically designed back of the dining chair adds another level of comfort to your outdoor dining experience. The all-aluminum swivel base means years of maintenance free enjoyment outdoors. The Lakeside Cushion Swivel Rocker invites you to relax and linger long after the meal is over."
732311,Lakeside,CUSHION,LOUNGE CHAIR,"Lakeside deep, generously proportioned cushioned outdoor patio chairs truly bring the elegance and comfort of the indoors out, allowing yards or patios to become an elegant outdoor room. Designed by Peter Homestead, the Lakeside Cushion Lounge Chair features clean lines and generous seating surfaces to provide an elegant, yet rustic, charm. Lakeside Cushion Lounge Chairs feature RELAXplus® Cushions offering plenty of plush relaxation to enhance any occasion."
732317,Lakeside,CUSHION,OTTOMAN,"Lakeside deep, generously proportioned cushioned outdoor patio furniture truly brings the elegance and comfort of the indoors out, allowing yards or patios to become an elegant outdoor room. Designed by Peter Homestead, the Lakeside Cushion Ottoman features clean lines and generous foot-resting surfaces to provide an elegant, yet rustic, charm. Lakeside Cushion Ottomans feature RELAXplus® Cushions offering plenty of plush relaxation to enhance any occasion. Sit back and relax your feet upon Tropitone's Lakeside Cushion Ottoman."
732314,Lakeside,CUSHION,LOVE SEAT,"Lakeside deep, generously proportioned cushioned outdoor patio furniture truly brings the elegance and comfort of the indoors out, allowing yards or patios to become an elegant outdoor room. Designed by Peter Homestead, the Lakeside Cushion Love Seat features clean lines and generous seating surfaces to provide an elegant, yet rustic, charm. The Lakeside Cushion Love Seat features RELAXplus® Cushions offering plenty of plush relaxation to enhance any occasion."
732321,Lakeside,CUSHION,SOFA,"Lakeside deep, generously proportioned cushioned outdoor patio furniture truly brings the elegance and comfort of the indoors out, allowing yards or patios to become an elegant outdoor room. Designed by Peter Homestead, the Lakeside Cushion Sofa features clean lines and generous seating surfaces to provide an elegant, yet rustic, charm. The Lakeside Cushion Sofa features RELAXplus® Cushions offering plenty of plush relaxation to enhance any occasion."
740501,Lakeside,SLING,HIGH BACK DINING CHAIR,"Dining al fresco has never been more alluring. Designed by Peter Homestead, the Lakeside Sling Dining Chair invites modern families to connect with nature. Lakeside Sling Dining Chair features your choice of Tropitone's durable sling fabric especially designed for comfort and ease of maintenance. The ergonomically designed high back of the dining chair adds another level of comfort to your outdoor dining experience. The Lakeside Sling Dining Chair invites you to relax and linger long after the meal is over."
740570,Lakeside,SLING,HIGH BACK SWIVEL ROCKER,"Anchor any outdoor dining set with a pair of swivel rockers. Designed by Peter Homestead, the Lakeside Sling Swivel Rocker invites modern families to connect with nature. Lakeside Sling Swivel Rockers feature Tropitone's durable sling fabric, which will have guests rocking in relaxation. The ergonomically designed back of the dining chair adds another level of comfort to your outdoor dining experience. The all-aluminum swivel base means years of maintenance free enjoyment outdoors. The Lakeside Sling Swivel Rocker invites you to relax and linger long after the meal is over."
740527-28,Lakeside,SLING,SWIVEL BAR STOOL,"Socializing al fresco has never been more alluring. Designed by Peter Homestead, the Lakeside Sling Bar Stool invites guests to connect with nature. Lakeside Sling Bar Stools feature your choice of Tropitone's durable sling fabric especially designed for comfort and ease of maintenance. The Lakeside Sling Bar Stool invites you to relax and linger long after the party is over."
740532,Lakeside,SLING,CHAISE LOUNGE,"Sling outdoor pieces have become a favorite for outdoor furniture sets. The Lakeside Sling Chaise Lounge combines an alluring sleek profile with the comfort of a lush fabric seating surface, perfect for lounging poolside. Designed by Peter Homestead, the Lakeside Sling Chaise Lounge features Tropitone's durable sling fabric especially designed for comfort and ease of maintenance. The Lakeside Sling Chaise Lounge invites you to relax and linger long after the pool party is over."
740501PS,Lakeside,PADDED SLING,HIGH BACK DINING CHAIR,"Dining al fresco has never been more alluring. Designed by Peter Homestead, the Lakeside Padded Sling Dining Chair invites modern families to connect with nature. Lakeside Padded Sling Dining Chair features your choice of Tropitone's durable fabric especially designed for comfort and ease of maintenance. The ergonomically designed high back of the outdoor dining chair adds another level of comfort to any outdoor dining experience. The Lakeside Padded Sling Dining Chair invites you to relax and linger long after the meal is over."
740570PS,Lakeside,PADDED SLING,HIGH BACK SWIVEL ROCKER,"Anchor any outdoor dining set with a pair of swivel rockers. Designed by Peter Homestead, the Lakeside Padded Sling Swivel Rocker invites modern families to connect with nature. Lakeside Padded Sling Swivel Rockers feature Tropitone's durable fabric, which will have guests rocking in relaxation. The ergonomically designed back of the dining chair adds another level of comfort to your outdoor dining experience. The all-aluminum swivel base means years of maintenance free enjoyment outdoors. The Lakeside Padded Sling Swivel Rocker invites you to relax and linger long after the meal is over."
740527PS-28,Lakeside,PADDED SLING,SWIVEL BAR STOOL,"Socializing al fresco has never been more alluring. Designed by Peter Homestead, the Lakeside Padded Sling Bar Stool invites modern families to connect with nature. Lakeside Padded Sling Bar Stools feature your choice of Tropitone's durable fabric especially designed for comfort and ease of maintenance. The Lakeside Padded Sling Bar Stool invites you to relax and linger long after the party is over."
741232PS,Lakeside,PADDED SLING,CHAISE LOUNGE,"The Tropitone® Lakeside Padded Sling Padded Chaise Lounge is perfect by the pool or on the patio. Designed by Peter Homestead, the Lakeside Padded Sling Chaise Lounges features durable sling fabric and extruded aluminum for comfort and ease of maintenance. So sit back, relax in the Lakeside Padded Sling Chaise Lounge and enjoy outdoors."
