id,sku,name,slug,category_id,description,short_description
5590,CB01-FC,Back Strap and Shoulder Strap Carry Bag for FC101,cb01-fc,41,Back strap and shoulder strap carry bag for FC101 beach lounger.,
5134,CB87-B-SS (2),Stainless Steel Surface Mount L-Brackets,cb87-b-ss-2-frankford,41,Stainless steel hard surface mount L-brackets. Hardware not included. 4 needed per installation.,Stainless steel hard surface mount L-brackets. Hardware not included. 4 needed per installation.
5569,CHROME FINIALS,Chrome Finials,chrome-finials,41,Classic ball / vertex finial. For G-Series / Greenwich / Monterey umbrellas.,
5602,CMLK-DP,Camlock Double Pole Adapter,cmlk-dp,41,Camlock stainless steel surface plate.,
5603,CMLK-ST-SM,Camlock Steel Stem (Small),cmlk-st-sm,41,Camlock powder coated steel stem. SM-Silver Mist finish.,
5613,D-WHEEL (1),D-Wheel (1),d-wheel-1,41,Drum wheel for 75S base. Two per base. Sold individually.,
5576,ECU-RIB,Eclipse Rib,ecu-rib,41,Aluminum rib replacement for Eclipse Cantilever umbrellas. Contact us to specify size and finish.,
5581,ECU-SP,Eclipse Spare Parts Kit,ecu-sp,41,Stainless steel spigot for Eclipse Cantilever umbrellas.,
5579,ECU-WS,Eclipse Wind Strap,ecu-ws,41,Universal wind stabilizer kit for Eclipse Cantilever umbrellas.,
5135,ECU/ARU-PC,Protective Cover (Eclipse/Aurora),protective-cover-eclipse-aurora-frankford,41,Black polyester protective cover for Eclipse and Aurora cantilever umbrellas.,Black polyester protective cover for Eclipse and Aurora cantilever umbrellas.
5572,FM-RIB,Fiberglass Monterey Rib,fm-rib,41,Fiberglass rib replacement for Monterey umbrellas. Contact us to specify size and finish.,
5573,FM-RIB-G,Fiberglass Monterey Rib - G-Series,fm-rib-g,41,Fiberglass rib replacement for G-Series Monterey umbrellas. Contact us to specify size and finish.,
5137,GS/876-PC,Protective Cover (G-Series/876),protective-cover-g-series-876-frankford,41,Black polyester protective cover for G-Series/Monterey 876FMA and 882FMC umbrellas.,Black polyester protective cover for G-Series/Monterey 876FMA and 882FMC umbrellas.
5592,HBF,Half Ball Finial for Catalina / Avalon / Lifeguard (Fiberglass),hbf,41,Half ball finial for fiberglass pole umbrellas. For Catalina / Avalon / Lifeguard.,
5147,LED-C1,Eclipse / Aurora / G-Series Greenwich / Greenwich / Marella LED Clip,led-c1-eclipse-aurora-g-series-marella-clip-frankford,41,LED clip for Eclipse/Aurora/G-Series Greenwich/Greenwich/Marella umbrellas.,LED clip for Eclipse/Aurora/G-Series Greenwich/Greenwich/Marella umbrellas.
5146,LED-C2,Aurora-F / G-Series Monterey Rib Attachment Clip,led-c2-aurora-f-g-series-clip-frankford,41,Aurora-F and G-Series Monterey rib attachment clip for LED lighting.,Aurora-F and G-Series Monterey rib attachment clip for LED lighting.
5145,LED-C3,Monterey Rib Attachment Clip,led-c3-monterey-clip-frankford,41,Monterey rib attachment clip for LED lighting.,Monterey rib attachment clip for LED lighting.
5144,LED-C4,Eclipse v4 Cantilever Umbrella LED Clip,led-c4-eclipse-v4-clip-frankford,41,LED clip for Eclipse v4 Cantilever Umbrella.,LED clip for Eclipse v4 Cantilever Umbrella.
5143,LED01,Led Light + Charging Kit,led-light-clips-frankford,41,LED light and charging kit. Ultra-thin clip-on under-canopy lighting. Lithium battery with up to 28 hours of warm ambient light. Built-in motion sensor.,LED light and charging kit. Ultra-thin clip-on under-canopy lighting. Lithium battery with up to 28 hours of warm ambient light. Built-in motion sensor.
5142,MCB01,Sleeve Carry Bag (Greenwich/Monterey),sleeve-carry-bag-greenwich-monterey-frankford,41,Black polyester sleeve carry bag for Greenwich/Monterey umbrellas.,Black polyester sleeve carry bag for Greenwich/Monterey umbrellas.
5136,NGU-PC,Protective Cover (NOVA),protective-cover-nova-frankford,41,Black polyester protective cover for NOVA giant telescoping umbrella.,Black polyester protective cover for NOVA giant telescoping umbrella.
5110,NGU550-L,Nova Replacement Top Cover,ngu550-l-frankford,41,Replacement aluminum top cover for NGU550. Brushed Silver standard; additional finishes available.,Replacement aluminum top cover for NGU550. Brushed Silver standard; additional finishes available.
5139,PC-LG,"Protective Cover - Large (74"" rib)",protective-cover-large-74-rib-frankford,41,"74"" rib length black polyester protective cover. Fits 864/864-SQ Greenwich/Monterey/Catalina/Laurel.","74"" rib length black polyester protective cover. Fits 864/864-SQ Greenwich/Monterey/Catalina/Laurel."
5138,PC-SM,"Protective Cover - Small (60"" rib)",protective-cover-small-60-rib-frankford,41,"60"" rib length black polyester protective cover. Fits 845/854/454-SQ Greenwich/Monterey/Catalina/Laurel.","60"" rib length black polyester protective cover. Fits 845/854/454-SQ Greenwich/Monterey/Catalina/Laurel."
5566,PIN & CHAIN,Pin & Chain,pin-chain,41,Replacement pin & chain. For all pulley lift umbrellas.,
5584,ROPE,Replacement Rope,rope,41,Pulley rope for G-Series / Greenwich / Monterey FM umbrellas. Contact us to specify frame finish for correct rope color.,
5612,SA-WHEEL (1),Sand Anchor Wheel (1),sa-wheel-1,41,Castor locking wheel for 100S base. Four per base. Sold individually.,
5593,SBC,Steel Bell Cap for Laurel / Emerald Coast / Lifeguard (Steel),sbc,41,Steel bell cap for steel pole umbrellas. For Laurel / Emerald Coast / Lifeguard.,
5594,SS-DB (1),Stainless Steel Drop-In Bolt (1),ss-db-1,41,Stainless steel countersunk concrete anchors. Sold individually.,
5570,SS-VERTEX FINIAL,Stainless Steel Vertex Finial,ss-vertex-finial,41,Stainless steel vertex finial. For G-Series / Greenwich / Monterey / Marella umbrellas.,
5599,ST-B (3),Steel Bolt Set (3),st-b-3,41,Use for Stem Deck Plate (ST-DP) only. Set of 3.,
5607,ST-TS,Steel Toe Saver,st-ts,41,"Securing thumb screws for 1.5"" and 2"" stems.",
5567,TPU/FINIALS,TPU Finials,tpu-finials,41,Classic ball / vertex finial. For Monterey umbrellas.,
5591,W-SPRING,Ash Wood Pole Replacement Retention Pole Spring,w-spring,41,Ash wood pole replacement retention pole spring.,
5588,WL-B,Wind Lock Bottom,wl-b,41,Standard height pointed bottom pole for Avalon / Emerald Coast umbrellas. Ash Wood finish.,
