id,sku,name,collection,short_description,description
3224,NC270C,Cabo Club Chair,Cabo,"Outdoor club chair seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor club chair seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor club chair seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3321,NC270CET,Cabo Corner End Table,Cabo,"Outdoor table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean","Outdoor table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean

<p>Outdoor table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Tempered Glass</li>
</ul>"
3322,NC270CT-REC,Cabo Rectangular Coffee Table,Cabo,"Outdoor coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean","Outdoor coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean

<p>Outdoor coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Tempered Glass</li>
</ul>"
3323,NC270CT-SQ,Cabo Square Coffee Table,Cabo,"Square coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean","Square coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean

<p>Square coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Tempered Glass</li>
</ul>"
3324,NC270ET-SQ,Cabo Square End Table,Cabo,"Square end table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean","Square end table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean

<p>Square end table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Tempered Glass</li>
</ul>"
3226,NC270LL,Cabo Left Arm Sectional Loveseat,Cabo,"Outdoor sectional loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor sectional loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor sectional loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3227,NC270LS,Cabo Loveseat,Cabo,"Outdoor loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3352,NC270O-REC,Cabo Rectangle Ottoman,Cabo,"Rectangle ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Rectangle ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Rectangle ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3353,NC270O-SQ,Cabo Square Ottoman,Cabo,"Outdoor square ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor square ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor square ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3228,NC270RL,Cabo Right Arm Sectional Loveseat,Cabo,"Outdoor loveseat sectional seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor loveseat sectional seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor loveseat sectional seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3225,NC270SCC,Cabo Corner Chair,Cabo,"Corner Chair with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Corner Chair with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Corner Chair with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Sectional Pieces Available</li>
</ul>"
3223,NC270SCC-45,Cabo 45 Sectional Corner,Cabo,"Outdoor 45 sectional corner with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor 45 sectional corner with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor 45 sectional corner with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3229,NC270SCM,Cabo Sectional Middle Chair,Cabo,"Outdoor sectional middle seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor sectional middle seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor sectional middle seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3230,NC270SG,Cabo Swivel Glider,Cabo,"Outdoor swivel glider with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor swivel glider with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor swivel glider with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  
</ul>"
3212,NC6100C,Capri Lounge Chair,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Textilene Sling Seating</li>
  <li>Your Choice of Fabrics and Finish Combinations</li>
  <li>Transitional Style</li>
  <li>Quick Drying</li>
  <li>Stackable</li>
  
</ul>"
3280,NC6100DT-30,Capri Round Dining Table,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
</ul>"
3281,NC6100DT-48,Capri Round Dining Table,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
  <li>With Umbrella Hole</li>
</ul>"
3282,NC6100DT-72,Capri Oval Dining Table,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
  <li>With Umbrella Hole</li>
</ul>"
3313,NC6100ET-SQ,Capri Side Table,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
  <li>Tempered Glass included</li>
</ul>"
3364,NC6100SACL-A,Capri Chaise Lounge,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Tables feature sturdy tempered glass. Available in multiple finishes and fabrics!","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Tables feature sturdy tempered glass. Available in multiple finishes and fabrics!

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Tables feature sturdy tempered glass. Available in multiple finishes and fabrics!</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Textilene Sling Seating</li>
  <li>Your Choice of Fabrics and Finish Combinations</li>
  <li>Transitional Style</li>
  <li>Quick Drying</li>
  
  <li>Stackable</li>
</ul>"
5291,NC2685BS-CH,Chalfonte Counter Height Stool,Chalfonte,,
5287,NC2685CH33-SQ-DRB,"Chalfonte Square Counter Height Table 33""",Chalfonte,,
5288,NC2685CH41-SQ-DRB,"Chalfonte Square Counter Height Table 41""",Chalfonte,,
5289,NC2685CH72-REC-DRB,"Chalfonte Rectangle Counter Height Table 72""",Chalfonte,,
3271,NC2685DC,Chalfonte Dining Chair,Chalfonte,Features:,"Features:

<p>Features:</p>

<ul>
  <li>High-Density Polyethylene (HDPE) all-weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance.</li>
  <li>Wicker design gives it a more tactile, luxurious look and texture.</li>
  <li>Stackable Dining Chair</li>
  <li>Optional: Dining Chair cushion – choose from listed fabrics</li>
</ul>"
5292,NC2685DLS,Chalfonte Dining Loveseat Bench,Chalfonte,,
5283,NC2685DT33-SQ-DRB-DH,"Chalfonte Square Dining Table 33""",Chalfonte,,
5284,NC2685DT41-SQ-DRB-DH,"Chalfonte Square Dining Table 41""",Chalfonte,,
5285,NC2685DT72-REC-DRB-DH,"Chalfonte Rectangle Dining Table 72""",Chalfonte,,
5286,NC2685DT83-REC-DRB-DH,"Chalfonte Rectangle Dining Table 83""",Chalfonte,,
5293,NC2685SACL,Chalfonte Single Adjustable Chaise Lounge,Chalfonte,,
5290,NC2685SWDC,Chalfonte Swivel Rocker Dining Chair,Chalfonte,,
5528,NC6701-LS,Chesapeake Bay Loveseat,Chesapeake Bay 6701,,
5532,NC6701-RET,Chesapeake Bay Round Slat End Table,Chesapeake Bay 6701,,
5529,NC6701C,Chesapeake Bay Lounge Chair,Chesapeake Bay 6701,,
5531,NC6701O-REC,Chesapeake Bay Ottoman,Chesapeake Bay 6701,,
5533,NC6701RCT,Chesapeake Bay Round Slat Coffee Table,Chesapeake Bay 6701,,
5530,NC6701SR,Chesapeake Bay Swivel Rocker,Chesapeake Bay 6701,,
5527,NC674013S,Chesapeake Bay Sofa,Chesapeake Bay 6701,,
3231,NC65183S,Edgewater 3 Seater Sofa,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  <li>CUSH6510-3S: 6 pc. cushion, 4.5</li>
  
</ul>"
3232,NC6518C,Edgewater Lounge Chair,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  
  
</ul>"
3325,NC6518CT-REC,Edgewater Rectangular Coffee Table,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Glass Top</li>
</ul>"
3327,NC6518ET-SQ,Edgewater Square End Table,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Glass Top</li>
</ul>"
