sku,name,collection,description,short_description,specs,tags,materials
951-SBS,Classico Armless Swivel Bar Stool,Classico,"The O.W. Lee Classico Armless Swivel Bar Stool brings classic European influence to bar-height outdoor spaces. Its clean silhouette, decorative accents, and swivel functionality create a refined outdoor bar stool ideal for entertaining. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Armless Swivel Bar Stool brings classic European influence to bar-height outdoor spaces. Its clean silhouette, decorative accents, and swivel functionality create a refined outdoor bar stool ideal for entertaining. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '50', 'collection': 'Classico', 'weight_lbs': '30', 'arm_height_in': '—', 'seat_height_in': '31.5', 'spec_sheet_pdf': 'https://www.owlee.com/collections/wrought-iron-steel/classico-armless-swivel-bar-stool/', 'depth_length_in': '25.5', 'width_diameter_in': '20.25'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
951-SCS,Classico Armless Swivel Counter Stool,Classico,"The O.W. Lee Classico Armless Swivel Counter Stool offers elevated seating with a streamlined, traditional profile. Ornate metal detailing and smooth swivel motion make this outdoor counter-height stool both functional and visually timeless. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Armless Swivel Counter Stool offers elevated seating with a streamlined, traditional profile. Ornate metal detailing and smooth swivel motion make this outdoor counter-height stool both functional and visually timeless. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '46', 'collection': 'Classico', 'weight_lbs': '40', 'arm_height_in': '—', 'seat_height_in': '27.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_951-SCS-Swivel-Counter-Armless.pdf', 'depth_length_in': '25.5', 'width_diameter_in': '20.25'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
942-SRW,Classico Club Dining Swivel Rocker Arm Chair,Classico,"Classico Swivel Rocker Club Dining Arm Chair The O.W. Lee Classico Swivel Rocker Club Dining Arm Chair elevates dining comfort with a more generously cushioned seat and back. Designed with classic European styling and smooth swivel rocker motion, this club-style outdoor dining chair blends refined elegance with lounge-like comfort at the table. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","Classico Swivel Rocker Club Dining Arm Chair The O.W. Lee Classico Swivel Rocker Club Dining Arm Chair elevates dining comfort with a more generously cushioned seat and back. Designed with classic European styling and smooth swivel rocker motion, this club-style outdoor dining chair blends refined elegance with lounge-like comfort at the table. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '39.5', 'collection': 'Classico', 'weight_lbs': '49', 'arm_height_in': '29.25', 'seat_height_in': '18.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SRW-Swivel-Rocker-Dining.pdf', 'depth_length_in': '29.75', 'width_diameter_in': '26'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
9-DT07,Classico Dining 07 Table Base,Classico,"If you’re looking for a table base that’s as beautiful as it is dependable, the Classico Iron Dining Table Base is a standout choice. Handcrafted from heavy-gauge wrought iron, it’s designed to provide rock-solid support while bringing a timeless, refined look to any outdoor space. One of the biggest advantages of the Classico base is its flexibility. It pairs effortlessly with a wide range of table top materials and sizes--whether you’re designing with sleek porcelain, ultra-durable Dekton®, or lightweight micro mesh. That means you can create exactly the table you want, without compromising on performance or style. Wrought iron is known for its strength and longevity, and you can feel the difference. The added weight keeps tables stable in windy conditions, while the material’s durability ensures the base holds up year after year outdoors. It’s furniture you can confidently invest in if you want something that truly lasts. With 10 finish options and numerous table top materials to choose from, the Classico Iron Table Base makes customization easy. It’s a smart investment for customers who value craftsmanship, versatility, and outdoor furniture built to stand the test of time. Fits Tops: - 42x72"" (Porcelain) - 42x84"" (Porcelain, Dekton, or Mesh)","If you’re looking for a table base that’s as beautiful as it is dependable, the Classico Iron Dining Table Base is a standout choice. Handcrafted from heavy-gauge wrought iron, it’s designed to provide rock-solid support while bringing a timeless, refined look to any outdoor space. One of the biggest advantages of the Classico base is its flexibility. It pairs effortlessly with a wide range of table top materials and sizes--whether you’re designing with sleek porcelain, ultra-durable Dekton®, or lightweight micro mesh. That means you can create exactly the table you want, without compromising on performance or style. Wrought iron is known for its strength and longevity, and you can feel the difference. The added weight keeps tables stable in windy conditions, while the material’s durability ensures the base holds up year after year outdoors. It’s furniture you can confidently invest in if you want something that truly lasts. With 10 finish options and numerous table top materials to choose from, the Classico Iron Table Base makes customization easy. It’s a smart investment for customers who value craftsmanship, versatility, and outdoor furniture built to stand the test of time. Fits Tops: - 42x72"" (Porcelain) - 42x84"" (Porcelain, Dekton, or Mesh)","{'height_in': '28.25', 'collection': 'Classico', 'weight_lbs': '73 (pkg)', 'arm_height_in': '—', 'seat_height_in': '—', 'spec_sheet_pdf': 'https://www.owlee.com/collections/classico-iron-table-bases/classico-dining-table-base/', 'depth_length_in': '27.75', 'width_diameter_in': '55'}","['o-w-lee', 'classico', 'made-in-usa']",Wrought Iron
953-AW,Classico Dining Arm Chair,Classico,"The O.W. Lee Classico Dining Arm Chair brings graceful proportions and decorative craftsmanship to outdoor dining. Featuring classic lines and detailed metalwork, this outdoor dining arm chair offers comfortable support while reinforcing the collection’s traditional aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Dining Arm Chair brings graceful proportions and decorative craftsmanship to outdoor dining. Featuring classic lines and detailed metalwork, this outdoor dining arm chair offers comfortable support while reinforcing the collection’s traditional aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '36.5', 'collection': 'Classico', 'weight_lbs': '27', 'arm_height_in': '—', 'seat_height_in': '18', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-AW-Dining-Arm-Chair.pdf', 'depth_length_in': '25.5', 'width_diameter_in': '22.75'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
951-S,Classico Dining Side Chair,Classico,"The O.W. Lee Classico Dining Side Chair reflects traditional European elegance with a refined, timeless silhouette. Ornate detailing, including embossed flat bar and rivet accents, gives this outdoor dining side chair a classic presence well suited for formal and casual outdoor dining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Dining Side Chair reflects traditional European elegance with a refined, timeless silhouette. Ornate detailing, including embossed flat bar and rivet accents, gives this outdoor dining side chair a classic presence well suited for formal and casual outdoor dining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '36.5', 'collection': 'Classico', 'weight_lbs': '19', 'arm_height_in': '—', 'seat_height_in': '18', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_951-S.pdf', 'depth_length_in': '25.5', 'width_diameter_in': '20.25'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
937-SBW,Classico High-Back Spring Base Lounge Chair,Classico,"If you want maximum comfort with a more commanding, classic look, the O.W. Lee Classico High Back Spring Base Lounge Chair delivers on all fronts. Its taller back provides extra support for relaxed lounging, while the spring base adds gentle motion that responds naturally as you sit. Together, they create a chair that feels as good as it looks--supportive, comfortable, and inviting. True to the Classico collection, this chair features a stately, Old World silhouette with refined detailing that brings a sense of timeless European elegance to any outdoor space. It’s an ideal choice for those who appreciate traditional design but don’t want to compromise on comfort. Built with O.W. Lee’s legendary craftsmanship, the frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, ensuring long-lasting performance outdoors. To make it your own, choose from 10 elegant frame finishes and over 100 fabric options. Whether it’s part of a full seating arrangement or a standout lounge piece, the Classico High Back Spring Base Lounge Chair offers elevated comfort, subtle motion, and enduring style.","If you want maximum comfort with a more commanding, classic look, the O.W. Lee Classico High Back Spring Base Lounge Chair delivers on all fronts. Its taller back provides extra support for relaxed lounging, while the spring base adds gentle motion that responds naturally as you sit. Together, they create a chair that feels as good as it looks--supportive, comfortable, and inviting. True to the Classico collection, this chair features a stately, Old World silhouette with refined detailing that brings a sense of timeless European elegance to any outdoor space. It’s an ideal choice for those who appreciate traditional design but don’t want to compromise on comfort. Built with O.W. Lee’s legendary craftsmanship, the frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, ensuring long-lasting performance outdoors. To make it your own, choose from 10 elegant frame finishes and over 100 fabric options. Whether it’s part of a full seating arrangement or a standout lounge piece, the Classico High Back Spring Base Lounge Chair offers elevated comfort, subtle motion, and enduring style.","{'height_in': '43.75', 'collection': 'Classico', 'weight_lbs': '60', 'arm_height_in': '26.5', 'seat_height_in': '17.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_937-SBW-Hi-Back-Spring-Base-Lounge-Chair.pdf', 'depth_length_in': '34.75', 'width_diameter_in': '28'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
937-SRW,Classico High-Back Swivel Rocker Lounge Chair,Classico,"If comfort is your top priority but you still want timeless style, the O.W. Lee Classico High Back Swivel Rocker Lounge Chair checks every box. The tall, supportive back is perfect for leaning in and relaxing, while the smooth swivel and gentle rocking motion let you move naturally and stay comfortable for longer stretches outdoors. It’s an ideal chair for conversations, quiet moments, and everything in between. Design-wise, this chair stays true to the Classico collection’s classic European influence. Refined detailing and an elegant silhouette give it a polished, Old World look that elevates any patio or outdoor living space. As with all O.W. Lee furniture, quality and durability come standard. The wrought iron frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, so you can relax knowing your chair is built to last. Personalizing your look is easy with 10 elegant frame finishes and over 100 fabric options. Whether it stands alone or completes a full seating group, the Classico High Back Swivel Rocker Lounge Chair offers exceptional comfort, graceful motion, and enduring craftsmanship.","If comfort is your top priority but you still want timeless style, the O.W. Lee Classico High Back Swivel Rocker Lounge Chair checks every box. The tall, supportive back is perfect for leaning in and relaxing, while the smooth swivel and gentle rocking motion let you move naturally and stay comfortable for longer stretches outdoors. It’s an ideal chair for conversations, quiet moments, and everything in between. Design-wise, this chair stays true to the Classico collection’s classic European influence. Refined detailing and an elegant silhouette give it a polished, Old World look that elevates any patio or outdoor living space. As with all O.W. Lee furniture, quality and durability come standard. The wrought iron frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, so you can relax knowing your chair is built to last. Personalizing your look is easy with 10 elegant frame finishes and over 100 fabric options. Whether it stands alone or completes a full seating group, the Classico High Back Swivel Rocker Lounge Chair offers exceptional comfort, graceful motion, and enduring craftsmanship.","{'height_in': '44.5', 'collection': 'Classico', 'weight_lbs': '58', 'arm_height_in': '26.75', 'seat_height_in': '17.75', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026-upd_Part13.pdf', 'depth_length_in': '34', 'width_diameter_in': '28'}","['o-w-lee', 'classico', 'made-in-usa']",Wrought Iron
956-CCW,Classico Lounge Chair,Classico,"If you’re looking for a classic outdoor lounge chair that feels just as good as it looks, the O.W. Lee Classico Lounge Chair delivers. It brings the collection’s signature traditional style into a relaxed, lounge-ready design, complete with decorative metalwork and plush cushions that invite you to sit back and stay awhile. It’s the kind of chair that instantly makes an outdoor space feel warm, comfortable, and refined. Like everything O.W. Lee makes, the Classico Lounge Chair is built to last. The wrought iron frame is backed by a 20-year structural warranty, while the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, so you can enjoy both comfort and peace of mind season after season. Customization is where this chair really shines. Choose from 10 elegant frame finishes and over 100 fabric options to create a look that fits your space and your style perfectly. Whether you’re furnishing a cozy patio or a full outdoor living area, the Classico Lounge Chair offers timeless design, exceptional comfort, and craftsmanship you can trust.","If you’re looking for a classic outdoor lounge chair that feels just as good as it looks, the O.W. Lee Classico Lounge Chair delivers. It brings the collection’s signature traditional style into a relaxed, lounge-ready design, complete with decorative metalwork and plush cushions that invite you to sit back and stay awhile. It’s the kind of chair that instantly makes an outdoor space feel warm, comfortable, and refined. Like everything O.W. Lee makes, the Classico Lounge Chair is built to last. The wrought iron frame is backed by a 20-year structural warranty, while the finish is guaranteed for 5 years against fading, blistering, and peeling. Cushions and fabrics are also covered for 5 years, so you can enjoy both comfort and peace of mind season after season. Customization is where this chair really shines. Choose from 10 elegant frame finishes and over 100 fabric options to create a look that fits your space and your style perfectly. Whether you’re furnishing a cozy patio or a full outdoor living area, the Classico Lounge Chair offers timeless design, exceptional comfort, and craftsmanship you can trust.","{'height_in': '38.5', 'collection': 'Classico', 'weight_lbs': '46', 'arm_height_in': '26.5', 'seat_height_in': '18', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2026/02/Classico_Retail_SpecSheets_2026-upd_Part9.pdf', 'depth_length_in': '36.75', 'width_diameter_in': '28'}","['o-w-lee', 'classico', 'made-in-usa']",Wrought Iron
956-2SW,Classico Love Seat,Classico,"The O.W. Lee Classico Love Seat offers intimate seating defined by elegant proportions and ornate detailing. Plush cushions and traditional styling make this outdoor love seat a refined addition to patios and courtyards. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Love Seat offers intimate seating defined by elegant proportions and ornate detailing. Plush cushions and traditional styling make this outdoor love seat a refined addition to patios and courtyards. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '35.5', 'collection': 'Classico', 'weight_lbs': '77', 'arm_height_in': '26.5', 'seat_height_in': '18', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_956-2SW-Love-Seat.pdf', 'depth_length_in': '33.75', 'width_diameter_in': '53'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
950-OW,Classico Ottoman,Classico,"The O.W. Lee Classico Ottoman complements the collection’s seating with functional elegance. Featuring classic detailing and a tailored cushion, this outdoor ottoman works as a footrest or additional seating. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Ottoman complements the collection’s seating with functional elegance. Featuring classic detailing and a tailored cushion, this outdoor ottoman works as a footrest or additional seating. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '18.5', 'collection': 'Classico', 'weight_lbs': '26', 'arm_height_in': '—', 'seat_height_in': '—', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_950-OW-Ottoman.pdf', 'depth_length_in': '26.25', 'width_diameter_in': '26.75'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
956-3SW,Classico Sofa,Classico,"If you’re looking to anchor your outdoor space with something truly timeless, the O.W. Lee Classico Sofa makes a beautiful statement. Designed as a sophisticated focal point, this outdoor sofa features a classic silhouette, elegant decorative accents, and generous seating that invites everyone to gather. Its European-inspired design brings a sense of tradition and refinement to patios, terraces, and outdoor living rooms alike. Crafted with O.W. Lee’s renowned attention to quality, the Classico Sofa is built to stand up to the elements while maintaining its beauty. The wrought iron frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Plush cushions and performance fabrics are also covered for 5 years, giving you confidence that your investment will look and feel great for years to come. Customization is simple and seamless. With 10 elegant frame finishes and over 100 fabric options, you can tailor the Classico Sofa to perfectly complement your outdoor décor. Whether you’re creating an intimate seating area or a grand outdoor gathering space, this sofa delivers classic style, lasting comfort, and craftsmanship you can trust.","If you’re looking to anchor your outdoor space with something truly timeless, the O.W. Lee Classico Sofa makes a beautiful statement. Designed as a sophisticated focal point, this outdoor sofa features a classic silhouette, elegant decorative accents, and generous seating that invites everyone to gather. Its European-inspired design brings a sense of tradition and refinement to patios, terraces, and outdoor living rooms alike. Crafted with O.W. Lee’s renowned attention to quality, the Classico Sofa is built to stand up to the elements while maintaining its beauty. The wrought iron frame is backed by a 20-year structural warranty, and the finish is guaranteed for 5 years against fading, blistering, and peeling. Plush cushions and performance fabrics are also covered for 5 years, giving you confidence that your investment will look and feel great for years to come. Customization is simple and seamless. With 10 elegant frame finishes and over 100 fabric options, you can tailor the Classico Sofa to perfectly complement your outdoor décor. Whether you’re creating an intimate seating area or a grand outdoor gathering space, this sofa delivers classic style, lasting comfort, and craftsmanship you can trust.","{'height_in': '35.5', 'collection': 'Classico', 'weight_lbs': '104', 'arm_height_in': '26.5', 'seat_height_in': '18', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_956-3SW-Sofa.pdf', 'depth_length_in': '34', 'width_diameter_in': '76.25'}","['o-w-lee', 'classico', 'made-in-usa']",Wrought Iron
956-SBT,Classico Spring Base Lounge Chair,Classico,"If you love the look of classic outdoor furniture but want a little extra comfort, the O.W. Lee Classico Spring Base Lounge Chair is a perfect fit. It takes the timeless elegance of the Classico collection and adds gentle motion, thanks to a spring-supported base that responds as you sit and relax. The result is a lounge chair that feels supportive, comfortable, and effortlessly inviting. Ornate metal details highlight the collection’s European-inspired craftsmanship, giving the chair a refined, old-world appeal. As with all O.W. Lee furniture, this chair is built for long-term outdoor living. The wrought iron frame is protected by a 20-year structural warranty, and the finish is backed for 5 years against fading, blistering, and peeling. Cushions and fabrics also carry a 5-year warranty, so you can enjoy comfort and durability with confidence. Personalizing your chair is easy. Choose from 10 elegant frame finishes and over 100 fabric options to create a look that feels uniquely yours. Whether you’re designing a quiet retreat or a sophisticated outdoor lounge, the Classico Spring Base Lounge Chair delivers classic style, subtle motion, and lasting comfort.","If you love the look of classic outdoor furniture but want a little extra comfort, the O.W. Lee Classico Spring Base Lounge Chair is a perfect fit. It takes the timeless elegance of the Classico collection and adds gentle motion, thanks to a spring-supported base that responds as you sit and relax. The result is a lounge chair that feels supportive, comfortable, and effortlessly inviting. Ornate metal details highlight the collection’s European-inspired craftsmanship, giving the chair a refined, old-world appeal. As with all O.W. Lee furniture, this chair is built for long-term outdoor living. The wrought iron frame is protected by a 20-year structural warranty, and the finish is backed for 5 years against fading, blistering, and peeling. Cushions and fabrics also carry a 5-year warranty, so you can enjoy comfort and durability with confidence. Personalizing your chair is easy. Choose from 10 elegant frame finishes and over 100 fabric options to create a look that feels uniquely yours. Whether you’re designing a quiet retreat or a sophisticated outdoor lounge, the Classico Spring Base Lounge Chair delivers classic style, subtle motion, and lasting comfort.","{'height_in': '41', 'collection': 'Classico', 'weight_lbs': '58', 'arm_height_in': '26.5', 'seat_height_in': '17.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2026/02/Classico_Retail_SpecSheets_2026-upd_Part10.pdf', 'depth_length_in': '33.25', 'width_diameter_in': '28'}","['o-w-lee', 'classico', 'made-in-usa']",Wrought Iron
953-SBSW,Classico Swivel Bar Stool With Arms,Classico,"The O.W. Lee Classico Swivel Bar Stool with Arms offers elevated comfort with timeless appeal. Ornate accents, supportive arms, and swivel functionality make this outdoor bar-height stool a classic choice for refined outdoor entertaining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Swivel Bar Stool with Arms offers elevated comfort with timeless appeal. Ornate accents, supportive arms, and swivel functionality make this outdoor bar-height stool a classic choice for refined outdoor entertaining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '50', 'collection': 'Classico', 'weight_lbs': '41', 'arm_height_in': '39.5', 'seat_height_in': '31.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SBSW-Swivel-Bar-Stool-with-Arms.pdf', 'depth_length_in': '25.75', 'width_diameter_in': '22.75'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
953-SCSW,Classico Swivel Counter Stool With Arms,Classico,"The O.W. Lee Classico Swivel Counter Stool with Arms pairs traditional detailing with added comfort and support. Featuring elegant armrests and smooth swivel motion, this counter-height outdoor stool delivers both sophistication and ease of use. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Swivel Counter Stool with Arms pairs traditional detailing with added comfort and support. Featuring elegant armrests and smooth swivel motion, this counter-height outdoor stool delivers both sophistication and ease of use. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '46', 'collection': 'Classico', 'weight_lbs': '39', 'arm_height_in': '—', 'seat_height_in': '27.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SCSW-Swivel-Counter-Stool-with-Arms.pdf', 'depth_length_in': '25.75', 'width_diameter_in': '22.75'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
953-SRW,Classico Swivel Rocker Dining Arm Chair,Classico,"The O.W. Lee Classico Swivel Rocker Dining Arm Chair combines Old World design with relaxed functionality. Smooth swivel and gentle rocking motion enhance comfort, while embossed detailing and rivets lend timeless character to this outdoor swivel dining chair. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Classico Swivel Rocker Dining Arm Chair combines Old World design with relaxed functionality. Smooth swivel and gentle rocking motion enhance comfort, while embossed detailing and rivets lend timeless character to this outdoor swivel dining chair. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '36.5', 'collection': 'Classico', 'weight_lbs': '35', 'arm_height_in': '26', 'seat_height_in': '18', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Classico_Retail_SpecSheets_2026_953-SRW-Swivel-Rocker-Dining.pdf', 'depth_length_in': '25.5', 'width_diameter_in': '22.75'}","['o-w-lee', 'classico', 'made-in-usa']","Aluminum, Wrought Iron"
